Product title,Product priceProduct rating,Reviews count,Buy link
"Redmi Note 9 (Pebble Grey, 64 GB)","₹12,618",4.3 out of 5,"15,197 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-pebble-grey-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFQ3GAGANG&lid=LSTMOBFU3ZFQ3GAGANGMKROVO&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU3ZFQ3GAGANG.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹18,179",4.3 out of 5,"1,046 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFPZXUYDHUHNNN&lid=LSTMOBFPZXUYDHUHNNNX1CXVJ&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFPZXUYDHUHNNN.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹14,619",4.4 out of 5,"14,145 Ratings & 1,013 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itm0418537d115ba?pid=MOBFUZYNSYP64TQK&lid=LSTMOBFUZYNSYP64TQKMVUQHF&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFUZYNSYP64TQK.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi 9 Prime (Matte Black, 64 GB)","₹9,999",4.4 out of 5,"35,042 Ratings & 2,122 Reviews",https://www.flipkart.com/redmi-9-prime-matte-black-64-gb/p/itmbaf295a5663c2?pid=MOBFUSCC57HCZGKG&lid=LSTMOBFUSCC57HCZGKGQ6TSNL&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFUSCC57HCZGKG.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)","₹18,932",4.4 out of 5,"5,330 Ratings & 439 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-aurora-blue-128-gb/p/itm6306e1d4476e3?pid=MOBFU84TNRP5YDMX&lid=LSTMOBFU84TNRP5YDMX3X5CLM&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU84TNRP5YDMX.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 (Aqua Green, 64 GB)","₹12,750",4.3 out of 5,"15,197 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-aqua-green-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFAB7VQJHY&lid=LSTMOBFU3ZFAB7VQJHY33BOSI&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU3ZFAB7VQJHY.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹17,599",4.3 out of 5,"1,046 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itm7651b521a521f?pid=MOBFTGMCRZV8A6EK&lid=LSTMOBFTGMCRZV8A6EKBMNS0Y&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFTGMCRZV8A6EK.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 (Arctic White, 128 GB)","₹13,669",4.3 out of 5,"15,197 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-arctic-white-128-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFB27C2VTH&lid=LSTMOBFU3ZFB27C2VTHWU3GQX&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFU3ZFB27C2VTH.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹17,449",4.3 out of 5,"1,046 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-champagne-gold-128-gb/p/itm812ce2c5ee97d?pid=MOBFVN5JQRXMWYSZ&lid=LSTMOBFVN5JQRXMWYSZUCRY6V&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFVN5JQRXMWYSZ.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","₹18,323",4.4 out of 5,"5,330 Ratings & 439 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-interstellar-black-128-gb/p/itmb47f59cf8b7c3?pid=MOBFRWZN9WHWZKZJ&lid=LSTMOBFRWZN9WHWZKZJMEYX92&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=e2fe6d37-f6cd-40bf-98e0-21ba12e98249.MOBFRWZN9WHWZKZJ.SEARCH&ssid=mlbxjfw7g00000001612368371714&qH=37347601431fd8b4
