Product title,Product priceProduct rating,Reviews count,Buy link
Python For Everybody Exploring Data In Python 3 (Englis...,₹500,4.5,(228),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Machine Learning with Python Cookbook: Practical Soluti...,₹900,4.6,(28),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Programming in Python 3,₹598,4.3,(88),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
"Murach's Python Programming, 576 Pages (English, Paperb...",₹975,4.7,(13),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Python Data Science Handbook - Essential Tools for Work...,"₹1,250",4.4,(101),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Test Your Skills In Python Language,₹160,4.2,(48),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Python Programming,₹385,3.7,(10),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Learn Python 3 The Hard Way [paperback] Zed A.Shaw [Jan...,₹600,4.5,(201),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Python Made Simple: Learn Python programming in easy st...,₹399,rating not available,reviews not available,https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
"Automate The Boring Stuff With Python, 2nd Edition","₹1,800",4.5,(6),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Learning Robotics Using Python,"₹3,199",4.7,(3),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Learning Robotics using Python,"₹2,499",4.7,(3),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Computer Science with Python for Class 12,₹595,4.4,(274),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
Python Crash Course,"₹3,000",4.6,(21),https://www.flipkart.com/python-programming-using-problem-solving-approach-first/p/itmfc1a0b0d3d081?pid=9780199480173&lid=LSTBOK9780199480173KNFEQI&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=dcc65a16-1b93-4455-9ae1-e24853856fb5.9780199480173.SEARCH&ssid=rr0sy83jk00000001612438601431&qH=04b21a108c7cf81d
